"IdProveedor","Proveedor","Telefono","Condiciones","Contacto","RazonSocialProv","TipoProv"
329,"Erandi de Mexico","55 5363 3602","Contado","Adan Abreu","Erandi de Mexico SA de CV",
330,"Fulartex, S.A de C.V","222 236 1775","Contado","Oscar Milan Vargas","Fulartex, S.A de C.V.","T"
331,"Etiqpandas","55 17632508","8 d°as","Adan G¢mez","Etiqpandas","H"
332,"Grayontex","5551092834",,"Yonathan Moiseb","Grayontex,S.A de C.V.","T"
333,"Grupo Monaven","477 7119878","Contado","Guadalupe Mondrag¢n","Grupo Monaven SA de CV","H"
334,"Te§idos Morales",,,,"Victor Hugo Morales Sandoval",
335,"Distribuidora Alondr","5542675736","8 dias","Alberto Reyes","Distribuidora Alondra","H"
336,"Fingerprints",,,,,
337,"EM Pack","55 55762173","CONTADO","DAVID JAIMES","EMPACK CAJAS DE CARTON","H"
338,"Daniel Chinconcuac",,"Contado","Sr. Daniel","Daniel Chinconcuac",
339,"VIA","5565045147","20 DIAS","ANTONIO GODOY / VICTOR AVAYU","FABRICA DE ETIQUETAS E IMPRESOS  VIA S.A. DE CV.","H"
340,"JAVIER ACOSTA","5514594082","8 DIAS HABILES","JAVIER ACOSTA","JAVIER ACOSTA PEREZ","H"
341,"Daniel Hilu","5555031770",,"Daniel Hilu","Daniel Hilu","H"
342,"BM",,,"JOSY MUSTRI","BM  JOSY MUSTRI","T"
343,"Cesar Trujillo",,"8 Dias","Cesar Trujillo","Transporte Trujillo","S"
344,"ALMA DELIA GALVAN","5564034822","5 DIAS","ALMA DELIA","ALMA DELIA GALVAN GONZALEZ","H"
345,"LIBRADO VERA GARCIA","5566726186","CONTADO","LIBRADO",,"H"
346,"ANTONIO GODOY P","5565045147","8 DIAS","TO•O GODOY","RAFAEL ANTONIO GODOY PALACIOS","H"
347,"TAURUS HABILITACIONE",,"8 DIAS","RAFAEL GODOY","TAURUS HABILITACIONES","H"
348,"PODER MEXICANO","5621832374","8 DIAS","CARLOS ALBERTO MENDOZA","PODER MEXICANO","H"
349,"Loma Lassetex","5524222012","Contado","Gustavo Gonzalez","Loma Lassetex, SA de C.V.","T"
350,"NAVASAN","55 2140 5124","CONTADO","JORGE NAVARRO","GRUPO NAVASAN","H"
351,"MARKIVER","8711862799","CONTADO","HECTOR BARRERA","MARKIVER TRANSFER","H"
352,"RB INTERNACIONAL","4773254392","CONTADO","RAMON BARAJAS","RB INTERNACIONAL PRINTERS","H"
353,"MEXTRIM GROUP","5553573160","CONTADO","MINERVA CASTILLO","MEXTRIM GROUP","H"
354,"JESUS VAZQUEZ","5555018915","CONTADO","JESUS VAZQUEZ","JORGE JESUS VAZQUEZ MENDEZ","H"
355,"Lucky Textil",,"Contado","Sr. Betech","Lucky Textil, S.A de C.V.","T"
356,"DIANA TOLEDO SOLIS","5519226546","CONTADO","DIANA","DIANA TOLEDO SOLIS","H"
357,"NORTH AMERICAN","55340121","CONTADO","JUAN CARLOS OLIVAREZ","NORTH AMERICAN PACKAGING AND BRANDING GROUP","H"
358,"SMART BORDADOS","55598987","CONTADO","ALFREDO FERNANDEZ","SMART BORDADOS","H"
359,"Becktel",,"Contado","Sr. Sergio Becker","Becktel, S.A de C.V.","T"
360,"JOSE VILLAFUERTE","5556747414","CONTADO","JOSE VILLAFUERTE","JOSE DOMINGO VILLAFUERTE PADRON","H"
361,"Nueva Texticlase, SA",,"Contado","Maria de Jesus","Nueva Texticlase, S.A",
362,"DIROSA",,,,"COMERCIALIZADORA DIROSA","H"
363,"DIROSA",,,,"COMERCIALIZADORA DIROSA","H"
364,"Etiquetas Industrial","2222158806","Contado","IVETTE JANEIRO","Etiquetas Industriales","H"
365,"BOLSAS TALIVAN","5565274648","CONTADO","IVAN","TALIVAN","H"
366,"Fibrasan","55","Contado","Carlos Augusto","Fibrasan, S.A de C.V","T"
367,"OSCAR OLVERA OLVERA","553886853","CONTADO","OSCAR OLVERA OLVERA","IMPRESOS UNIVERSO","H"
368,"SENVATEX","55018915","CONTADO","JESUS VAZQUEZ","SENVATEX","H"
369,"Textiles del Valle",,"Contado","Sr. Jaime","Textiles del Valle, SA de C.V.",
370,"COMERCIALIZADORA DIR","5557615924","8 DIAS","YANETH MALDONADO","COMERCIALIZADORA DIROSA S DE R.L","H"
371,"DAVID GURRUSQUIETA",,"CONTADO","DAVID","DAVID GURRUSQUITA RODRIGUEZ","H"
372,"MIRIAM RODRIGUEZ B.",,"CONTADO","MIRIAM","MIRIAM RODRIGUEZ BALTAZAR","H"
373,"Nano Tex","5555222911","Contadop",,"Nano Tex, S.A de C.V","T"
374,"Textiles Toba",,"Contado","Gabriel Cohen","Textiles Toba, S.A de C.V.","T"
375,"Ramon","55 7489 1176","Contado","Ramon Herrera","Ramon Herrera",
376,"Ramon",,"Contado","Ramon Herrera","Ramon Herrera","S"
377,"Andres",,"Contado",,"Andres Nutes","S"
378,"Layla Textil",,"Contado",,"Layla Textil",
379,"Skytex Textil",,"Contado","Sr. Marcos","Skytex Textil, S.A de C.V.","T"
380,"Telas Tony","5555422936","Contado","Antoine Mansour","Telas Tony, S.A de C.V.",
381,"Shengtex",,"Contado","Fernanda Lescano","Shaoxing Sheng Textile Import &Export Co.LTD","T"
382,"Hugo Morales","554006 4355","Contado","Hugo Enrique Arzte Morales","Hugo Enrique Arzate Morales","S"
383,"Becitex","551019 2337","Contado","Carlos Ortega","Becitex, S.A de C.V.",
384,"Leopoldo","553201-9097","Contado","Leopoldo Aleman","Leopoldo Aleman Aspetia","S"
385,"Merceria Magda","595 9534199","Contadi",,"Merceria Magda",
386,"Cierres Tech, S.A","5566112331","Contado","Raul Gracia","Cierres Tech, S.A de C.V.","H"
387,"Yei-ei textil",,"contado","Zuriel","Yei Ei Textil","T"
388,"Grupo papelero",,"contado",,"Grupo papelero, s,a","H"
389,"Karsusa","5959535703","Contado","Ricardo","Karsusa Textil, S.A de C.V.","T"
390,"Textiles Irlanda","55 2773 1035","Contado","Edgar Lopez","Textiles Irlanda, S.A de C.V.",
391,"Lucina Padilla","5535787776","15 dias","Erick Vazquez","Lucina Pdilla Antopia","H"
392,"Distribuidora Centro","5539 209931","Contado","Armando  Ortega","Disctribuidra del centro, S.A de C.V.",
393,"Sprintex",,"Contado",,"Sprintex, S.A de C.V.","T"
394,"Julio Solis","555358- 5925","contado","Julio Solis","Julio Solis",
395,"Gerardo",,"contado","Gerado Ventrua","Gerardo Ventura","T"
396,"Gudalupe",,"Contado",,"Guadalupe Salinas","S"
397,"Etiq Ind",,,,,
398,"Marshan labels","5633431818",,"isael","marshan labels","H"
399,"Go Flex","558062 0600","Contado","Paty  Moran","Go Flex bodega,","H"
400,"Vidas Tex",,"Contsdo",,"Vida Tex, .SA",
401,"Copacabana Textil",,"Contado","Eddie","Copacaban textil, S.A de C,V",
402,"Karam Textil",,"Contado",,"Karam Textil",
403,"Sinotex",,"Contado",,"Sinotex  (lucy)","T"
404,"Textiles Juquilita",,"contado",,"Textiles Juquilita,",
405,"Logistica Comercial",,"contado",,"Logiistica Comercial Shani",
406,"IOVA TEXTIL",,"CONTADO","EDUARDO","IOVA TEXTIL, S.A DE C.V.",
407,"Nueva Texticlase","55 2897 6762","Contado","Luz Maria","Nueva Texticlase,S.A de C.V.",
408,"Luis",,"contado",,"Luis Sanchez",
409,"Reynaldo",,,,"Reynaldo Mateo de Jesus",
410,"Severiano",,"Contado",,"Severiano Hernandez Urbina",
411,"Newen",,"Contado","Cindy","Newen",
412,"habilitacines marian","5611347522",,"jaime alatorre ruiz","habilitacines marian","H"
413,"Adrian",,"contado",,"Garcia Garcia",
414,"Broches y avios","5531917038","50% anticipo","Hildan Hernandez","Fabricante de broches y avios textiles S.A. de C.V","H"
415,"Almacenes Silvon",,"Contado",,"Almacenes Silvon",
416,"fracisco balderas","5566988350","contado","francisco balderas","fletes","S"
417,"gerardo aranda","5524052836","contado","gerardo aranda","fletes","S"
418,"Thomas Ruiz",,,"Contado",,"S"
419,"Transportes salgados","5519252985","contado","Azucena Salgados Velazquez","Transportes Salgado","S"
420,"Insytex","5624065446","Contado","Aurora","Insytex, S.A. De C.V.","H"
421,"Ansertex",,,,,
422,"Texticlase",,,"Ariel Cohen","Texticlase, S.A de C.V.",
423,"Alejandro",,,,"Alejandro Martinez",
424,"Prueba","5555555555","30 Dias","Juan Lopez","Prueba SA de CV","H"
425,"Jose Luis",,"Cotado","Sr.Armenta","Jose Luis Armenta Perez","S"
426,"CAJAS ARELY","5564926079","6 DIAS","ARELY GONZALEZ","CAJAS Y EMPAQUES ARELY","H"
427,"Graficos Rovelo","5555031639","8 dias","Natalia Rovelo","Graficos Rovelo S.A. De C.V.","H"
428,"Vicunha","5521049333","contado","Paulina carbajal","Vicunha","T"
429,"BOTOFIN","5544086550","contado","Hugo Garcia","Botofin s.a. De c.v","H"
430,"Roma Mills","5521230027","Contado","Martin Peralta Gomez","Grupo Filafil, SA de CV","T"
431,"Palermo Textil","5531304382","contado","Beatriz V†zquez","Palermo Textil","T"
432,"Habilitaci¢n y Av°os","2313290458","Pago anticipado","Felipe de la Rosa","Habilitaci¢n y Av°os para la Confecci¢n, S.A. De C","H"
433,"MARCHAND","5553571888","CONTADO","ARACELI D÷AZ CµZERES","MARCHAND PAPELER÷A","S"
434,"BLOOM TEXTILES","5545726011","90 dias","Isaac Zonana","BLOOM TEXTILES","T"
435,"Milenium Textil","5551780355",,"Yosef Mustri","Milenium Textil","T"
436,"Sabina Zapata","5580158470","Contado","Sabina Zapata","Sabina Zapata","H"
437,"ETIMARTZ","5529692558","CONTADO","MICHEL","ETIMARTZ","H"
438,"EL JAGUAR","2227713025","CONTADO","NICOLE SOTO","ETIQUETAS FINAS EL JAGUAR","H"
439,"Giselle Sacal",,"Contado","Guiselle Zacal","Giselle Sacal","T"
440,,,,,,"H"
441,"LGR Fumigaciones","55 3103 5611","Contado","Diana Amaro","LGR Fumigaciones","S"
442,"Ubaldo","5536 47 0961",,"Ubaldo","Ubaldo Garcia Hernandez",
443,"Maria Eugenia",,"contado",,"Maria Eugenia Navarro.",
444,"Etiquetas El Jaguar","222-771-3025","Contado","Niicole Soto","Etiquetas El Jaguar","H"
445,"Total look",,,"Rebeca Garcia","Total look, S.A de .C.V","H"
446,"MB",,,"JOSY MUSTRI","MB  JOSY MUSTRI","T"
447,"Araceli Rojo",,,,"Araceli Rojo Salinas",
448,"Shaltex","55-4104-8240",,"Moises Levy","Shaltex, S.A de C.V","T"
449,,,,,,
450,"All- TAG",,"contado","Franco Casillas","ALL- TAG, SA. De C.V.","H"
451,"Sinotex",,"Contado",,"Sinotex",
452,"Habilitaciones V.H","5566036042","8 dias","Victor","Habilitaciones Textiles V.H","H"
453,"bm",,,,,
454,"Acabados Koritex",,,"Said Marrun","Acabados Koritex","T"
455,"Alfra-Mex","5557403680","8 dias","Alejandra","Alfra-Mex","H"
456,"Marsan",,"8 dias",,"Etiquetas cintas elasticos y mas","H"
